LINK,Title,Location,Company,Salary,Description
https://au.indeed.com/viewjob?jk=229ce9e55ad2ab54,Junior Software Developer Engineer,Remote in Macquarie Park NSW,Efiniti Telecommunication Services,,"The engineer will be in contact with various managers, SMEs, and engineers to be guided and consulted about the company’s needs and requirements, and then work…"
https://au.indeed.com/viewjob?jk=c1a25d3f51bbab1d,Software Developer,Melbourne VIC,Centelon Pty Ltd,"$67,256 - $100,000 a year",Experience in maintaining and modifying the code for software applications.Hands On experience in Programming Languages like Java or Python.
https://au.indeed.com/viewjob?jk=1e318ff007c0c958,Graduate Software Engineer,Victoria,Airwallex,,"You will be responsible for partnering with Airwallex’s engineering teams to drive a high performance, data driven culture."
https://au.indeed.com/viewjob?jk=eedc59c3f105c472,Customer Principal,Melbourne VIC,Lexicon Digital,"$100,000 - $150,000 a year","Approach client executives as true business partners versus software delivery partners, expanding the company’s breadth and depth to its full potential."
https://au.indeed.com/viewjob?jk=7861590010045c62,Technical Trainer,Melbourne VIC,Australian Bureau of Meteorology,"$82,198 - $93,456 a year","A good understanding of theoretical electronics, IT and their practical applications is necessary (including current Bureau operational systems and software)."
https://au.indeed.com/viewjob?jk=c115bc9aeb4b05cd,Software Engineer,Australia,Checkbox,,+ At least 2 years of commercial experience in developing software.Full-time / Permanent / All Locations.+ Design & implement a wide range of interesting &…
https://au.indeed.com/viewjob?jk=268bca5d504f8532,Graduate Software Developer,Melbourne VIC+2 locations,Thoughtworks,,"Software Developers collaborate with Business and Quality Analysts, Designers, Project Managers and more to design software solutions that will create…"
https://au.indeed.com/viewjob?jk=c1ea4eaf4fc9a3a3,CV / AutoCad Drafter,Thomastown VIC 3074,A&A Cabinets Impressions Group,"$80,000 - $110,000 a year",Computer skills in addition to CAD software.Assist Project Managers in correcting and refining materials take offs and updating in house software accordingly.
https://au.indeed.com/viewjob?jk=74a381a55c6718ec,Graduate Software Engineer - Scoresby,Remote in Scoresby VIC 3179+1 location,Leidos,,"Using your skills to undertake software analysis, design, development and testing of software;Undertaking independent learning to improve your knowledge of…"
https://au.indeed.com/viewjob?jk=b990dee91cbe26b8,Software Tester,Remote,Swisslog,,"Proven work experience in software development.Strong knowledge of software testing methodologies, tools and processes."
https://au.indeed.com/viewjob?jk=80668910656919c7,Network Administrator,Remote in Docklands VIC 3008,FinXL IT Professional Services,"$80,000 - $120,000 a year",Maintaining existing software and hardware and upgrading any that have become obsolete.This role is responsible for maintaining computer networks and solving…
https://au.indeed.com/viewjob?jk=bce09e139e59cdbd,Graduate Software Engineer - Network Communications,Brisbane QLD,BOEING,,Development of engineering documentation and configuration management of hardware and software artefacts.The role is based in Brisbane.
